price_num,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,host_listings_count,amenity_count,price_per_person,target_superhost
113.97,2.0,1.0,1.0,2.0,30.0,730.0,339,10,0.08,4.8,4.9,4.78,4.78,5.0,49,56.985,0.0
117.27,3.0,1.0,2.0,1.0,30.0,240.0,191,198,0.95,4.6,4.85,4.69,4.59,1.0,26,39.089999999999996,1.0
80.06,1.0,1.0,,1.0,30.0,180.0,286,2,0.04,5.0,5.0,5.0,5.0,2.0,18,80.06,0.0
77.17,1.0,1.0,,1.0,30.0,120.0,218,251,1.24,4.88,4.95,4.85,4.84,1.0,22,77.17,1.0
202.47,2.0,1.0,,2.0,30.0,1125.0,106,423,2.12,4.89,4.89,4.95,4.82,2.0,50,101.235,1.0
365.97,2.0,1.0,,1.0,30.0,120.0,68,13,0.06,4.92,4.7,5.0,4.9,3.0,58,182.985,1.0
154.87,4.0,1.0,3.0,3.0,30.0,1125.0,61,129,0.73,4.67,4.64,4.29,4.71,1.0,54,38.7175,0.0
91.07,4.0,1.0,1.0,2.0,30.0,30.0,73,0,0.0,,,,,1.0,9,22.7675,0.0
,2.0,,1.0,,30.0,45.0,56,251,1.43,4.99,4.98,4.95,4.89,2.0,57,,0.0
,2.0,,,,30.0,30.0,0,8,0.05,4.88,4.5,4.88,4.75,1.0,12,,0.0
,6.0,,2.0,,30.0,365.0,0,11,0.06,4.89,4.64,4.73,4.64,1.0,10,,0.0
159.77,4.0,1.0,2.0,2.0,30.0,360.0,230,88,0.51,4.64,4.26,4.92,4.6,1.0,35,39.9425,1.0
87.77,1.0,1.0,1.0,1.0,30.0,360.0,145,17,0.11,4.94,4.88,4.94,4.82,1.0,39,87.77,0.0
,1.0,,,,30.0,365.0,0,25,0.19,4.96,4.96,4.79,4.96,1.0,14,,0.0
72.0,1.0,,,,30.0,1125.0,79,66,0.5,4.97,4.95,4.91,4.95,1.0,28,72.0,1.0
193.03,5.0,1.0,1.0,4.0,30.0,1125.0,255,189,0.92,4.77,4.74,4.67,4.76,2.0,52,38.606,0.0
148.04,2.0,1.0,,1.0,30.0,120.0,61,58,0.29,4.52,4.16,4.95,4.58,1.0,45,74.02,0.0
43.86,1.0,,,1.0,30.0,365.0,90,34,0.19,4.76,4.64,4.7,4.85,1.0,33,43.86,0.0
118.07,2.0,1.0,1.0,1.0,30.0,30.0,88,43,0.24,4.65,4.5,4.85,4.61,1.0,22,59.035,0.0
114.33,2.0,1.0,,2.0,30.0,730.0,147,188,1.03,4.53,4.43,4.35,4.56,1.0,32,57.165,1.0
