price_num,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,availability_365,host_listings_count,amenity_count,price_per_person
113.97,2.0,1.0,1.0,2.0,30.0,10,0.08,4.8,4.9,4.78,4.78,339,5.0,49,56.985
117.27,3.0,1.0,2.0,1.0,30.0,198,0.95,4.6,4.85,4.69,4.59,191,1.0,26,39.089999999999996
80.06,1.0,1.0,1.0,1.0,30.0,2,0.04,5.0,5.0,5.0,5.0,286,2.0,18,80.06
77.17,1.0,1.0,1.0,1.0,30.0,251,1.24,4.88,4.95,4.85,4.84,218,1.0,22,77.17
202.47,2.0,1.0,1.0,2.0,30.0,423,2.12,4.89,4.89,4.95,4.82,106,2.0,50,101.235
365.97,2.0,1.0,1.0,1.0,30.0,13,0.06,4.92,4.7,5.0,4.9,68,3.0,58,182.985
154.87,4.0,1.0,3.0,3.0,30.0,129,0.73,4.67,4.64,4.29,4.71,61,1.0,54,38.7175
91.07,4.0,1.0,1.0,2.0,30.0,0,0.0,4.88,4.83,4.88,4.75,73,1.0,9,22.7675
222.87,2.0,1.0,1.0,2.0,30.0,251,1.43,4.99,4.98,4.95,4.89,56,2.0,57,111.435
222.87,2.0,1.0,1.0,2.0,30.0,8,0.05,4.88,4.5,4.88,4.75,0,1.0,12,111.435
222.87,6.0,1.0,2.0,2.0,30.0,11,0.06,4.89,4.64,4.73,4.64,0,1.0,10,37.145
159.77,4.0,1.0,2.0,2.0,30.0,88,0.51,4.64,4.26,4.92,4.6,230,1.0,35,39.9425
87.77,1.0,1.0,1.0,1.0,30.0,17,0.11,4.94,4.88,4.94,4.82,145,1.0,39,87.77
102.965,1.0,1.0,1.0,1.0,30.0,25,0.19,4.96,4.96,4.79,4.96,0,1.0,14,102.965
72.0,1.0,1.0,1.0,1.0,30.0,66,0.5,4.97,4.95,4.91,4.95,79,1.0,28,72.0
193.03,5.0,1.0,1.0,4.0,30.0,189,0.92,4.77,4.74,4.67,4.76,255,2.0,52,38.606
148.04,2.0,1.0,1.0,1.0,30.0,58,0.29,4.52,4.16,4.95,4.58,61,1.0,45,74.02
43.86,1.0,1.0,1.0,1.0,30.0,34,0.19,4.76,4.64,4.7,4.85,90,1.0,33,43.86
118.07,2.0,1.0,1.0,1.0,30.0,43,0.24,4.65,4.5,4.85,4.61,88,1.0,22,59.035
114.33,2.0,1.0,1.0,2.0,30.0,188,1.03,4.53,4.43,4.35,4.56,147,1.0,32,57.165
124.35,2.0,1.0,1.0,2.0,30.0,100,0.56,4.83,4.87,4.42,4.76,242,1.0,42,62.175
114.44,2.0,1.0,1.0,1.0,30.0,94,0.61,4.86,4.84,4.72,4.86,365,2.0,31,57.22
113.03,5.0,1.0,1.0,2.0,30.0,134,0.73,4.64,4.56,4.48,4.55,54,4.0,33,22.606
432.0,3.0,2.5,2.0,2.0,3.0,55,0.33,4.87,4.81,4.95,4.82,30,1.0,35,144.0
