Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Distance(mi),Hour_of_Day,Is_Weekend,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Infra_Feature_Count,Severity
99.0,35.0,29.95,10.0,10.4,0.0,0.0,15.0,False,False,False,True,False,False,False,False,False,False,False,False,True,2,2
46.0,93.0,30.0,6.0,6.0,0.0,0.0,20.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
67.0,66.0,29.84,10.0,9.0,0.0,0.0,5.0,True,False,False,False,False,True,False,False,False,False,False,False,False,1,2
50.0,89.0,29.18,3.0,3.0,0.01,0.831,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
77.0,94.0,29.49,6.0,5.0,0.03,0.0,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
57.0,89.0,29.43,4.0,17.0,0.2,3.194,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
26.0,81.0,27.83,10.0,5.0,0.0,0.158,6.0,True,False,False,False,False,False,True,False,False,False,False,False,False,1,2
86.0,55.0,29.31,13.0,9.0,0.0,0.16,15.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
59.0,82.0,28.84,10.0,0.0,0.0,1.38,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
73.0,47.0,29.95,10.0,9.0,0.0,0.197,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
59.0,72.0,29.8,10.0,5.0,0.0,0.0,7.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
65.5,71.0,30.1,10.0,10.4,0.0,0.0,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
76.0,25.0,29.82,10.0,15.0,0.0,1.017,13.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2
46.0,79.0,30.16,4.0,9.0,0.03,0.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
74.0,68.0,29.56,7.0,9.0,0.0,0.0,13.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,3
69.0,39.0,29.93,10.0,5.0,0.0,0.004,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
54.0,53.0,29.61,10.0,5.0,0.0,0.0,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
62.6,59.0,29.93,10.0,5.8,0.0,0.442,21.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
91.0,26.0,29.59,10.0,7.0,0.0,1.108,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
82.0,24.0,29.85,10.0,12.0,0.0,0.098,15.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
68.0,70.0,29.04,10.0,3.0,0.0,0.4300000071525574,22.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
51.1,15.0,30.12,10.0,5.8,0.0,0.0,16.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,3
65.0,84.0,29.07,8.0,3.0,0.0,0.3899999856948853,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
62.0,60.0,29.89,10.0,7.0,0.0,7.269,11.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
75.0,38.0,29.74,10.0,23.0,0.0,0.076,16.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
86.0,46.0,29.53,10.0,9.0,0.0,0.0,16.0,False,False,False,True,False,False,False,False,False,False,False,False,True,2,2
38.0,76.0,30.15,10.0,5.0,0.0,0.897,8.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
85.0,61.0,29.13,10.0,9.0,0.0,0.0,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
50.0,59.0,30.22,9.0,4.6,0.0,0.0,19.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
65.0,63.0,29.96,5.0,5.0,0.0,0.0,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
